710	17	17
709	1	18
708	3	21
707	5	26
706	8	34
705	5	39
704	5	44
703	5	49
702	3	52
701	6	58
700	14	72
699	11	83
698	8	91
697	7	98
696	17	115
695	11	126
694	9	135
693	25	160
692	28	188
691	19	207
690	26	233
689	19	252
688	20	272
687	26	298
686	31	329
685	31	360
684	28	388
683	43	431
682	35	466
681	35	501
680	42	543
679	47	590
678	53	643
677	35	678
676	51	729
675	55	784
674	51	835
673	59	894
672	46	940
671	58	998
670	66	1064
669	68	1132
668	61	1193
667	76	1269
666	73	1342
665	68	1410
664	82	1492
663	83	1575
662	59	1634
661	80	1714
660	97	1811
659	92	1903
658	103	2006
657	110	2116
656	94	2210
655	118	2328
654	122	2450
653	92	2542
652	130	2672
651	116	2788
650	140	2928
649	126	3054
648	131	3185
647	133	3318
646	140	3458
645	158	3616
644	159	3775
643	163	3938
642	174	4112
641	159	4271
640	169	4440
639	153	4593
638	165	4758
637	173	4931
636	181	5112
635	206	5318
634	193	5511
633	198	5709
632	202	5911
631	210	6121
630	202	6323
629	216	6539
628	246	6785
627	243	7028
626	248	7276
625	231	7507
624	259	7766
623	248	8014
622	247	8261
621	231	8492
620	303	8795
619	306	9101
618	252	9353
617	281	9634
616	299	9933
615	322	10255
614	308	10563
613	310	10873
612	351	11224
611	313	11537
610	339	11876
609	347	12223
608	373	12596
607	360	12956
606	333	13289
605	350	13639
604	367	14006
603	407	14413
602	414	14827
601	398	15225
600	342	15567
599	444	16011
598	427	16438
597	392	16830
596	397	17227
595	398	17625
594	417	18042
593	457	18499
592	431	18930
591	461	19391
590	497	19888
589	500	20388
588	508	20896
587	519	21415
586	517	21932
585	554	22486
584	503	22989
583	517	23506
582	545	24051
581	571	24622
580	515	25137
579	557	25694
578	549	26243
577	615	26858
576	562	27420
575	582	28002
574	625	28627
573	572	29199
572	598	29797
571	601	30398
570	639	31037
569	619	31656
568	625	32281
567	623	32904
566	597	33501
565	657	34158
564	651	34809
563	664	35473
562	639	36112
561	631	36743
560	705	37448
559	693	38141
558	693	38834
557	673	39507
556	719	40226
555	630	40856
554	733	41589
553	701	42290
552	712	43002
551	704	43706
550	760	44466
549	742	45208
548	741	45949
547	744	46693
546	766	47459
545	750	48209
544	726	48935
